sr_data_query,priority,team
"The Credit Arrangement Letter was not correctly generated", HIGH PRIORITY URGENT TECHNICAL,TECH
"The credit arrangement letter was not generated properly", HIGH PRIORITY URGENT TECHNICAL,TECH
"How can I change my registered phone number?",AWARENESS,
"The server crashes when I upload large files",HIGH PRIORITY URGENT TECHNICAL,TECH
"Need assistance understanding the privacy policy",AWARENESS,
"Analytics dashboard not loading since yesterday",HIGH PRIORITY URGENT TECHNICAL,TECH
"Can I schedule monthly report delivery?",AWARENESS,
"Search function takes too long to return results",HIGH PRIORITY LONG TERM TECHNICAL, TECH
"Typo in the onboarding confirmation screen", LOW PRIORITY TECHNICAL, PRODUCT
"Is there a way to deactivate my account temporarily?",AWARENESS,
"Real-time sync not working across devices",HIGH PRIORITY URGENT TECHNICAL, TECH
"Request to rename a feature for better clarity",LOW PRIORITY TECHNICAL, PRODUCT
"Can I access your services outside India?",AWARENESS,
"Critical form validation failing during signup",HIGH PRIORITY URGENT TECHNICAL,TECH
"Unable to export PDF reports correctly",HIGH PRIORITY URGENT TECHNICAL,TECH
"TERMs of use are unclear about data retention",AWARENESS,
"App becomes unresponsive after login",HIGH PRIORITY URGENT TECHNICAL,TECH
"Request to add tooltip help to form fields",LOW PRIORITY TECHNICAL,PRODUCT
"Does your system support multi-language UI?",AWARENESS,
"Reports aren't emailed to my inbox",HIGH PRIORITY LONG TERM TECHNICAL,PRODUCT
"Feature buttons are misaligned on small screens",LOW PRIORITY TECHNICAL,TECH
"Where can I find invoices from last year?",AWARENESS,
"File upload failing intermittently on mobile",HIGH PRIORITY URGENT TECHNICAL,TECH
"Suggestion to improve navigation flow",LOW PRIORITY TECHNICAL,PRODUCT
"Is your service GDPR compliant?",AWARENESS,
"Audit logs missing for some admin actions",HIGH PRIORITY URGENT TECHNICAL,TECH
"Slow response times during high traffic",HIGH PRIORITY LONG TERM TECHNICAL,PRODUCT
"How do I add a secondary user?",AWARENESS,
"Notification badge not updating after viewing messages",LOW PRIORITY TECHNICAL,TECH
"How to switch between personal and business accounts?",AWARENESS,
"Security settings not reflecting changes immediately",HIGH PRIORITY URGENT TECHNICAL,TECH
"Broken link in FAQs section",LOW PRIORITY TECHNICAL,PRODUCT
"Can I turn off push notifications?",AWARENESS,
"Application hangs when selecting payment method",HIGH PRIORITY URGENT TECHNICAL,TECH
"Request for customizable invoice format",HIGH PRIORITY LONG TERM TECHNICAL,PRODUCT
"Text overlaps on iPad screens",HIGH PRIORITY URGENT TECHNICAL,TECH
"How do I unsubscribe from emails?",AWARENESS,
"Bug: Profile picture not saving",LOW PRIORITY TECHNICAL,PRODUCT
"How do I transfer ownership of my account?",AWARENESS,
